,rar,alpha,gamma,epochs,ticker,perf
147,0.1,0.1,0.6,40,AMZN,0.9958589781133423
148,0.1,0.1,0.6,40,DJIA,1.0009172564529167
149,0.1,0.1,0.6,40,QQQ,1.0007000278574938
150,0.1,0.1,0.6,40,SPY,0.9993590796092965
151,0.1,0.1,0.6,40,VGT,0.998544368430884
152,0.1,0.1,0.6,40,XLI,1.0006552434071385
153,0.1,0.1,0.6,60,AAPL,0.998570023475353
154,0.1,0.1,0.6,60,AMZN,1.002247743216919
155,0.1,0.1,0.6,60,DJIA,1.0008681089170237
156,0.1,0.1,0.6,60,QQQ,1.0005278685480055
157,0.1,0.1,0.6,60,SPY,1.0006941793713457
158,0.1,0.1,0.6,60,VGT,0.9996571708873683
159,0.1,0.1,0.6,60,XLI,1.0006540829886383
160,0.1,0.1,0.6,80,AAPL,1.003048916896119
161,0.1,0.1,0.6,80,AMZN,1.0002536254949645
162,0.1,0.1,0.6,80,DJIA,0.9998535355429318
163,0.1,0.1,0.6,80,QQQ,1.0003331402470037
164,0.1,0.1,0.6,80,SPY,0.9995688869540853
165,0.1,0.1,0.6,80,VGT,1.0010586086085211
166,0.1,0.1,0.6,80,XLI,1.000563121151434
0,0.1,0.1,0.7,20,AAPL,0.9990735400586552
1,0.1,0.1,0.7,20,AMZN,0.9977113864096462
2,0.1,0.1,0.7,20,DJIA,0.9993563707992162
3,0.1,0.1,0.7,20,QQQ,1.0009537698263546
4,0.1,0.1,0.7,20,SPY,1.000401568797578
5,0.1,0.1,0.7,20,VGT,0.9986403619789432
6,0.1,0.1,0.7,20,XLI,0.9997957101948376
7,0.1,0.1,0.7,40,AAPL,1.0038188650464552
8,0.1,0.1,0.7,40,AMZN,0.997360486879464
9,0.1,0.1,0.7,40,DJIA,0.9999533625683368
10,0.1,0.1,0.7,40,QQQ,1.000252751480205
11,0.1,0.1,0.7,40,SPY,1.0006334590118735
12,0.1,0.1,0.7,40,VGT,1.0001569518077125
13,0.1,0.1,0.7,40,XLI,1.0015459581875017
14,0.1,0.1,0.7,60,AAPL,0.9975467642808392
15,0.1,0.1,0.7,60,AMZN,0.9982439744846636
16,0.1,0.1,0.7,60,DJIA,1.000423700049868
17,0.1,0.1,0.7,60,QQQ,0.9992733969781246
18,0.1,0.1,0.7,60,SPY,1.000586416173216
19,0.1,0.1,0.7,60,VGT,0.9987004735961016
20,0.1,0.1,0.7,60,XLI,0.9996177169701844
21,0.1,0.1,0.7,80,AAPL,1.002055004252371
22,0.1,0.1,0.7,80,AMZN,0.9966635260564553
23,0.1,0.1,0.7,80,DJIA,1.0009172564529167
24,0.1,0.1,0.7,80,QQQ,0.9998046703308848
25,0.1,0.1,0.7,80,SPY,0.9999352778108328
26,0.1,0.1,0.7,80,VGT,1.0004033247738058
27,0.1,0.1,0.7,80,XLI,1.001690055962118
28,0.1,0.1,0.8,20,AAPL,1.0014314490437586
29,0.1,0.1,0.8,20,AMZN,1.004351103245439
30,0.1,0.1,0.8,20,DJIA,1.0003363036815522
31,0.1,0.1,0.8,20,QQQ,0.9993213030232009
32,0.1,0.1,0.8,20,SPY,1.0003111686196295
33,0.1,0.1,0.8,20,VGT,1.001059219587641
34,0.1,0.1,0.8,20,XLI,1.0005539126691498
35,0.1,0.1,0.8,40,AAPL,1.000389509622818
36,0.1,0.1,0.8,40,AMZN,0.9985450910989168
37,0.1,0.1,0.8,40,DJIA,1.000818250623842
38,0.1,0.1,0.8,40,QQQ,1.0009691047132223
39,0.1,0.1,0.8,40,SPY,1.000298962285893
40,0.1,0.1,0.8,40,VGT,0.9976428687389916
41,0.1,0.1,0.8,40,XLI,1.0019281102023248
42,0.1,0.1,0.8,60,AAPL,1.001500166602322
43,0.1,0.1,0.8,60,AMZN,0.9983053437058348
44,0.1,0.1,0.8,60,DJIA,0.9999884547402514
45,0.1,0.1,0.8,60,QQQ,0.9998907986256964
46,0.1,0.1,0.8,60,SPY,1.0010154203502832
47,0.1,0.1,0.8,60,VGT,0.9994049587065402
48,0.1,0.1,0.8,60,XLI,1.0021188493140432
49,0.1,0.1,0.8,80,AAPL,0.9991551799163492
50,0.1,0.1,0.8,80,AMZN,1.0013620911371133
51,0.1,0.1,0.8,80,DJIA,1.0002603153558012
52,0.1,0.1,0.8,80,QQQ,0.9994672674452026
53,0.1,0.1,0.8,80,SPY,1.000001144814517
54,0.1,0.1,0.8,80,VGT,0.9998352451160945
55,0.1,0.1,0.8,80,XLI,0.9989683692376802
56,0.1,0.1,0.9,20,AAPL,1.0004328167874728
57,0.1,0.1,0.9,20,AMZN,1.0007072739078953
58,0.1,0.1,0.9,20,DJIA,1.0006984518730495
59,0.1,0.1,0.9,20,QQQ,1.001830555690667
60,0.1,0.1,0.9,20,SPY,1.001461722273019
61,0.1,0.1,0.9,20,VGT,1.001077313297873
62,0.1,0.1,0.9,20,XLI,1.001387355181643
63,0.1,0.1,0.9,40,AAPL,1.0019671911414767
64,0.1,0.1,0.9,40,AMZN,1.0021381189442458
65,0.1,0.1,0.9,40,DJIA,1.0003597317830408
66,0.1,0.1,0.9,40,QQQ,1.0015198164058523
