,date,time,retweet_count,neg,neu,pos,cmpd,IsTradingDay,is_retweet,numTweets,EMA5,EMA10,EMA20,Output
10095,2017-08-30,13.463055555555556,28527.0,0.195,0.758,0.047,-0.6239,1,False,5,236.2175058849567,235.75465939636965,235.44804446152094,1.0
10096,2017-08-30,13.208055555555555,24876.0,0.195,0.57,0.23600000000000002,0.3304,1,False,5,236.2175058849567,235.75465939636965,235.44804446152094,1.0
10097,2017-08-30,12.797777777777776,14522.0,0.0,1.0,0.0,0.0,1,False,5,236.2175058849567,235.75465939636965,235.44804446152094,1.0
10098,2017-08-29,12.448611111111115,17234.0,0.0,1.0,0.0,0.0,1,False,5,236.04850882743506,235.57669481778512,235.33147019431263,-1.0
10099,2017-08-29,12.175,22210.0,0.0,1.0,0.0,0.0,1,False,5,236.04850882743506,235.57669481778512,235.33147019431263,-1.0
10100,2017-08-29,11.529444444444444,7469.0,0.0,0.778,0.222,0.5719,1,True,5,236.04850882743506,235.57669481778512,235.33147019431263,-1.0
10101,2017-08-29,11.3825,7479.0,0.0,0.752,0.248,0.5106,1,True,5,236.04850882743506,235.57669481778512,235.33147019431263,-1.0
10102,2017-08-29,11.377777777777776,5207.0,0.0,0.892,0.10800000000000001,0.3182,1,True,5,236.04850882743506,235.57669481778512,235.33147019431263,-1.0
10103,2017-08-28,13.221111111111114,12773.0,0.0,0.5529999999999999,0.447,0.836,0,True,4,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10104,2017-08-28,13.196388888888887,12688.0,0.29100000000000004,0.617,0.09300000000000001,-0.5423,0,True,4,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10105,2017-08-28,13.148333333333332,27208.0,0.425,0.445,0.13,-0.8909999999999999,0,True,4,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10106,2017-08-28,13.144166666666667,31015.0,0.26,0.578,0.162,-0.5719,0,True,4,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10107,2017-08-27,23.01833333333333,22608.0,0.0,0.899,0.10099999999999999,0.3084,0,False,11,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10108,2017-08-27,14.658888888888885,15578.0,0.0,0.455,0.545,0.5562,0,False,11,236.19746324115258,235.53804922173737,235.28735126739818,1.0
